x,y,z,us_mag_0,noise_values,us_mag_noisy
0.002980056,0.007434626,0.00980332,-0.004045322,-0.006995574,-0.011040896
0.004154268,0.008392465,0.00943614,-0.023341715,0.002619732,-0.020721983
0.011214892,0.011417577,0.012079287,0.047027244,0.001702791,0.048730035
0.011132383,0.011656873,0.012274142,0.035109602,-0.000457655,0.034651947
0.01087684,0.010798265,0.012304364,0.034416895,0.003373272,0.037790167
0.011692299,0.010444012,0.010213772,0.014342685,9.11E-05,0.014433738
0.011308373,0.010470989,0.011087683,0.045759972,0.001857984,0.047617956
0.011302211,0.010114521,0.010799889,0.026360426,0.002762502,0.029122928
0.011689671,0.011174212,0.008867472,0.057467002,-0.000419495,0.057047507
0.009187859,0.016016511,0.006553225,-0.156917194,0.001799369,-0.155117825
0.012323437,0.01505639,0.007234445,-0.013554292,-0.002887733,-0.016442025
0.011191821,0.016243432,0.005479789,-0.132516469,-0.004473501,-0.13698997
0.01071918,0.014221474,0.006835459,-0.067978869,0.001406029,-0.06657284
0.012024287,0.015817436,0.006430912,-0.144629489,0.003919084,-0.140710405
0.011339419,0.015054195,0.007860471,0.04149826,0.001799101,0.043297361
0.013224258,0.016588347,0.006521611,-0.132686411,-0.003217205,-0.135903616
0.009794898,0.01423991,0.007279098,-0.041660875,-0.003495048,-0.045155923
0.010503642,0.016965989,0.008604793,-0.073623329,0.000906818,-0.072716511
0.014688494,0.013181463,0.007050002,0.014576601,-0.002728572,0.011848029
0.015194711,0.014070136,0.00670582,0.023685368,-0.001979392,0.021705976
0.014882841,0.013577938,0.005948178,0.020235861,-0.003472333,0.016763528
0.01541948,0.014655338,0.004817019,0.013160067,0.001196024,0.014356091
0.015903534,0.014850504,0.005224153,0.01264171,0.000309819,0.012951529
0.015319091,0.014169505,0.007858729,0.024626443,0.001523325,0.026149768
0.005720699,0.008785706,0.006480009,-0.019612363,-0.001668863,-0.021281226
0.006767525,0.007354448,0.007950462,-0.005616442,-0.005048946,-0.010665388
0.005317053,0.0081509,0.008112645,-0.029139915,-0.000804612,-0.029944527
0.006735876,0.008449635,0.006785499,-0.017154972,-0.000700765,-0.017855737
0.005782912,0.00711701,0.008902051,-0.013447629,-0.001419859,-0.014867488
0.009485598,0.010408868,0.004444108,0.021058304,0.003010844,0.024069148
0.009110576,0.012379583,0.003297412,-0.00474196,-0.005562479,-0.010304439
0.00697898,0.011594378,0.004909329,-0.05229699,-0.003073435,-0.055370425
0.007770656,0.01039514,0.004373698,-0.003817726,-0.006773087,-0.010590813
0.010011341,0.011154597,0.004226965,0.030523864,-0.000293417,0.030230447
0.008385058,0.012478264,0.004338926,-0.048626598,0.002998441,-0.045628157
0.011809455,0.011496942,0.005698844,0.032311758,-0.003194265,0.029117493
0.010764582,0.011432788,0.005962558,0.06249316,0.002147097,0.064640257
0.010971745,0.0113432,0.00461326,0.039543196,0.003659476,0.043202672
0.010482072,0.010716954,0.004738268,0.030137894,0.003618076,0.03375597
0.012795431,0.01218375,0.006208326,0.033381818,-0.002496335,0.030885483
